image_name,BoxesString
002884_1.png,115 58 119 62
001856_1.png,5 71 15 82
006259_1.png,30 113 37 123
001855_1.png,115 107 121 115
008756_1.png,38 114 47 122
003657_1.png,49 14 53 18
002198_1.png,80 50 87 57
003477_1.png,8 112 18 121
007227_1.png,5 70 15 80
000461_1.png,115 45 121 51
004239_1.png,102 90 118 106
005358_1.png,60 113 66 120
001224_1.png,33 8 41 15
002279_1.png,23 100 33 110
001865_1.png,46 4 58 16
004619_1.png,70 101 79 111
009783_1.png,19 93 29 103
001451_1.png,25 31 35 41
003576_1.png,5 43 15 53
004971_1.png,78 111 88 125
009572_1.png,12 43 18 49
005707_1.png,92 21 107 31
006144_1.png,69 32 73 37
000042_1.png,28 22 36 29
008126_1.png,7 8 13 12
007505_1.png,58 32 65 40
006608_1.png,6 78 14 88
001242_1.png,63 30 70 37
008214_1.png,3 3 17 17
006321_1.png,25 116 29 120
007307_1.png,18 85 28 93
000126_1.png,61 13 74 21
007247_1.png,115 54 121 60
002031_1.png,33 7 38 13
003466_1.png,13 96 17 101
004742_1.png,15 100 20 106
009514_1.png,114 12 118 16
003193_1.png,18 116 22 120
006539_1.png,14 60 25 73
000896_1.png,104 43 109 48
006863_1.png,9 6 16 14
007638_1.png,114 13 122 24
004203_1.png,105 27 110 32
003551_1.png,116 55 120 60
004864_1.png,22 31 35 41
003048_1.png,35 81 43 88
009879_1.png,70 16 75 20
005729_1.png,22 66 27 72
009161_1.png,70 106 74 111
009529_1.png,5 81 15 90
000906_1.png,101 35 106 40
001978_1.png,116 8 120 12
004029_1.png,5 87 15 97
000661_1.png,91 42 98 51
000775_1.png,69 15 83 28
005933_1.png,95 116 100 120
004483_1.png,33 111 40 118
003863_1.png,43 96 56 104
000890_1.png,56 24 61 28
001320_1.png,30 107 37 112
006995_1.png,86 90 92 97
003213_1.png,74 116 78 120
008174_1.png,101 15 109 23
008594_1.png,64 39 76 52
009892_1.png,37 44 47 52
006450_1.png,114 82 122 90
004278_1.png,17 47 26 57
002559_1.png,94 24 105 34
001672_1.png,113 92 122 99
003558_1.png,70 40 82 51
007691_1.png,82 115 89 121
006187_1.png,51 32 57 39
004888_1.png,100 111 112 123
001980_1.png,9 6 17 18
005743_1.png,115 115 121 121
009706_1.png,112 62 119 69
004832_1.png,87 104 94 113
007754_1.png,47 67 57 76
009777_1.png,46 32 54 40
001391_1.png,54 10 63 21
005615_1.png,30 39 36 47
004766_1.png,34 8 43 19
008336_1.png,55 8 59 12
004330_1.png,75 7 86 18
008271_1.png,49 48 58 55
007651_1.png,55 8 59 12
008794_1.png,55 23 65 32
000587_1.png,74 109 82 117
007150_1.png,98 24 109 39
005286_1.png,5 113 16 123
002855_1.png,59 93 64 99
003771_1.png,88 69 99 78
000410_1.png,111 4 121 16
007605_1.png,113 60 118 67
000599_1.png,72 12 82 22
001998_1.png,72 46 77 51
001069_1.png,112 107 120 113
003230_1.png,37 105 47 116
003412_1.png,91 116 95 120
006900_1.png,86 79 91 83
001183_1.png,11 58 16 64
006951_1.png,18 115 25 121
000534_1.png,94 36 99 41
003761_1.png,89 8 93 12
003997_1.png,40 115 47 121
005177_1.png,36 67 47 74
006597_1.png,76 5 89 18
001832_1.png,35 99 42 106
001192_1.png,116 51 120 55
002575_1.png,5 49 15 62
001558_1.png,17 110 21 115
006912_1.png,40 82 46 88
008015_1.png,8 8 12 12
002897_1.png,42 61 46 65
007743_1.png,100 113 109 123
003468_1.png,86 55 91 60
009594_1.png,22 39 33 51
009916_1.png,61 111 67 115;43 72 47 76;120 16 127 24
004731_1.png,28 92 34 99
004482_1.png,6 40 14 46
002100_1.png,7 27 13 33
007992_1.png,9 6 19 14
007370_1.png,52 65 57 70
008646_1.png,6 35 14 43
007456_1.png,27 13 37 21
004737_1.png,84 4 100 19
006717_1.png,105 36 111 42
001384_1.png,35 98 41 106
007861_1.png,88 115 94 121
008163_1.png,76 114 81 118
009120_1.png,113 2 123 18
006422_1.png,9 15 16 22
001798_1.png,10 103 18 110
004057_1.png,76 56 84 64
000536_1.png,49 30 59 40
005338_1.png,111 89 120 102
002781_1.png,39 30 46 35
005210_1.png,33 27 42 35
003845_1.png,116 57 120 62
008898_1.png,40 29 46 34
008244_1.png,6 107 14 114
005512_1.png,32 13 41 22
009549_1.png,88 79 95 88
003233_1.png,115 98 121 104
007092_1.png,94 98 102 105
006057_1.png,60 18 64 22
007569_1.png,12 57 26 70
005586_1.png,58 85 67 93
006456_1.png,116 45 120 49
000569_1.png,55 26 68 37
006752_1.png,112 100 124 108
002098_1.png,95 81 103 91
008488_1.png,103 84 115 95
004861_1.png,98 91 107 100
000017_1.png,87 39 97 47
002525_1.png,3 18 17 27
009513_1.png,69 96 78 109
009710_1.png,113 99 123 107
009562_1.png,85 9 93 18
009694_1.png,103 30 111 38
006903_1.png,77 52 91 60
007661_1.png,28 67 38 76
003920_1.png,116 69 120 74
006590_1.png,57 77 67 88
003986_1.png,8 23 12 28
000533_1.png,12 42 18 49
006188_1.png,95 115 100 120
006595_1.png,58 95 70 107
003705_1.png,99 116 103 120
008335_1.png,82 111 86 115
003076_1.png,45 52 50 57
009848_1.png,35 89 41 95
002782_1.png,113 21 121 29
003450_1.png,7 102 13 111
008460_1.png,16 13 28 26
005741_1.png,88 68 95 76
009654_1.png,107 44 117 53
006231_1.png,80 36 91 45
005271_1.png,115 112 121 121
007398_1.png,31 7 37 15
008245_1.png,64 69 76 81
000695_1.png,27 91 34 97
005634_1.png,35 85 42 92
000060_1.png,112 53 121 67
002708_1.png,12 101 20 110
009168_1.png,8 15 12 20
005086_1.png,55 88 59 92
000557_1.png,54 93 63 101
006195_1.png,70 112 74 116
007017_1.png,83 69 93 79
001937_1.png,93 30 109 46
008697_1.png,16 71 29 82
006732_1.png,85 70 93 83
000433_1.png,42 31 47 35
000822_1.png,57 49 61 55
009776_1.png,28 8 36 16
005519_1.png,77 6 82 13
003929_1.png,53 60 62 69
001808_1.png,30 25 36 30
008817_1.png,31 69 41 76
001108_1.png,116 31 120 35
004454_1.png,111 55 116 60
000741_1.png,84 50 96 62
006592_1.png,57 97 66 107
000911_1.png,76 72 86 81
000788_1.png,114 49 121 56
009990_1.png,11 114 17 118;76 36 82 40;16 14 28 24
007033_1.png,46 35 56 46
004764_1.png,66 34 78 44
002963_1.png,86 113 99 123
004789_1.png,51 13 58 20
009189_1.png,39 115 44 121
007764_1.png,43 33 57 43
001741_1.png,62 79 67 84
004911_1.png,25 44 36 56
007936_1.png,115 81 121 87
007719_1.png,88 55 93 60
007668_1.png,115 72 121 78
008968_1.png,95 53 102 60
002751_1.png,9 62 17 71
006575_1.png,27 23 36 33
009547_1.png,38 36 42 41
008755_1.png,102 71 109 81
004626_1.png,98 8 103 12
004271_1.png,18 43 33 53
007865_1.png,112 86 124 95
003601_1.png,23 115 31 121
001015_1.png,43 113 48 117
005036_1.png,112 39 124 50
000559_1.png,22 45 30 56
006999_1.png,30 40 35 46
001847_1.png,14 115 21 121
001813_1.png,24 79 37 91
008146_1.png,87 24 93 29
008997_1.png,79 16 84 20
000436_1.png,51 73 57 79
001965_1.png,71 20 84 30
000830_1.png,25 16 29 21
000113_1.png,24 7 31 13
005174_1.png,75 45 87 53
008348_1.png,49 74 63 85
004826_1.png,74 23 80 31
001899_1.png,112 20 124 32
003668_1.png,82 114 94 122
007452_1.png,48 81 54 87
003666_1.png,93 8 97 12
005320_1.png,112 93 124 105
001265_1.png,115 108 121 113
005723_1.png,53 83 59 88
007706_1.png,85 102 89 107
005226_1.png,39 107 50 118
005529_1.png,28 114 33 122
001480_1.png,102 87 111 96
006332_1.png,88 54 96 66
009045_1.png,58 7 66 13
001088_1.png,12 49 21 59
008380_1.png,15 93 26 101
006219_1.png,53 22 61 29
002986_1.png,95 94 105 104
007917_1.png,41 86 51 98
007597_1.png,102 47 111 58
004997_1.png,99 116 104 120
006677_1.png,8 114 12 119
008502_1.png,19 13 25 22
009880_1.png,80 64 88 72
000056_1.png,50 77 58 84
002199_1.png,4 21 16 30
003205_1.png,105 102 111 106
002462_1.png,114 23 118 28
008132_1.png,55 114 63 122
001931_1.png,116 82 120 86
008985_1.png,49 14 54 20
007662_1.png,101 108 114 121
007148_1.png,109 116 113 120
009784_1.png,106 114 119 122
008579_1.png,87 65 99 76
002460_1.png,92 64 103 78
006522_1.png,7 16 13 22
003143_1.png,71 24 75 28
001769_1.png,8 43 12 47
007854_1.png,65 26 78 38
005808_1.png,46 24 54 32
002348_1.png,44 53 54 62
009053_1.png,65 97 69 102
004024_1.png,5 93 15 102
003232_1.png,15 38 24 47
006776_1.png,96 113 101 119
005468_1.png,96 88 107 96
007231_1.png,29 14 38 20
001718_1.png,66 102 71 107
002657_1.png,31 58 38 65
006722_1.png,7 43 13 50
001514_1.png,80 103 88 112
002356_1.png,43 113 55 122
009408_1.png,6 10 14 22
003609_1.png,64 4 73 16
005537_1.png,23 116 28 120
004990_1.png,83 32 89 37
008268_1.png,18 73 22 78
006246_1.png,11 86 15 92
000370_1.png,12 32 18 38
008044_1.png,66 6 75 14
009734_1.png,8 27 12 31
003663_1.png,115 29 121 34
005490_1.png,73 44 77 48
003451_1.png,106 105 113 111
000153_1.png,89 113 99 123
005178_1.png,111 3 125 17
000733_1.png,49 91 57 100
009577_1.png,82 84 91 95
005589_1.png,54 10 62 20
004268_1.png,8 51 12 55
005398_1.png,112 9 117 14
003772_1.png,36 63 40 67
001662_1.png,75 45 84 53
000825_1.png,116 80 120 84
007409_1.png,4 84 17 95
008690_1.png,6 30 14 37
007314_1.png,70 97 85 113
006980_1.png,112 27 117 32
003105_1.png,7 109 13 114
005809_1.png,11 96 16 102
002302_1.png,27 96 31 101
003734_1.png,8 115 12 119
002201_1.png,40 30 48 38
000297_1.png,57 91 61 95
005103_1.png,46 64 58 74
009146_1.png,16 42 27 51
005429_1.png,76 54 80 60
003499_1.png,64 110 76 121
001789_1.png,93 92 98 97
000259_1.png,42 67 51 75
006325_1.png,6 104 14 111
009388_1.png,75 101 82 107
001655_1.png,22 82 32 92
006965_1.png,34 26 44 34
001485_1.png,8 111 12 116
008549_1.png,24 7 28 13
009709_1.png,110 50 122 61
007445_1.png,104 7 113 13
004466_1.png,7 27 13 32
005950_1.png,27 37 38 49
003976_1.png,57 60 66 67
007994_1.png,115 106 121 111
003880_1.png,57 100 61 104
006716_1.png,36 105 40 110
001071_1.png,23 42 31 48
009523_1.png,83 71 88 76
005272_1.png,104 109 118 122
007894_1.png,116 68 120 72
006173_1.png,7 109 13 115
002667_1.png,96 12 104 19
002352_1.png,43 52 52 61
001127_1.png,23 70 33 77
009212_1.png,57 72 69 84
009972_1.png,99 103 103 109;118 64 122 68;69 45 79 49
001222_1.png,65 34 71 41
007040_1.png,115 73 121 80
007920_1.png,64 26 74 36
000759_1.png,70 67 75 71
007546_1.png,63 116 69 120
006272_1.png,57 65 65 76
000443_1.png,110 59 120 71
002676_1.png,5 8 17 17
006935_1.png,56 83 65 90
002424_1.png,82 47 88 53
006387_1.png,105 99 110 103
009574_1.png,31 75 40 84
004884_1.png,4 21 16 29
009786_1.png,69 47 76 53
009769_1.png,98 29 107 38
003639_1.png,7 48 16 58
005976_1.png,81 93 95 107
002214_1.png,19 75 24 79
